index,site.num,Year,ac,ha,appl.date.doy,product,resid.herb.act,crop,manure,cultiv,no.till,is.glyph
1,9,2009,16.6,6.720647773,186,Durango,no,NA,NA,NA,NA,TRUE
2,19,2004,40.5,16.39676113,113,Glyphomax.XRT,yes,Corn,NA,NA,NA,TRUE
3,19,2004,40.5,16.39676113,113,2.4.D.LVE4,no,Corn,NA,NA,NA,FALSE
4,19,2004,40.5,16.39676113,175,Glyphomax.XRT,yes,Corn,NA,NA,NA,TRUE
5,19,2006,40.5,16.39676113,104,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
6,19,2006,40.5,16.39676113,122,Marksman,yes,Corn,NA,NA,NA,FALSE
7,19,2006,40.5,16.39676113,122,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
8,19,2007,40.5,16.39676113,121,Glyphomax.XRT,yes,Corn,NA,NA,NA,TRUE
9,19,2007,40.5,16.39676113,121,2.4.D.LVE4,no,Corn,NA,NA,NA,FALSE
10,19,2007,40.5,16.39676113,163,Glyphomax.XRT,yes,Corn,NA,NA,NA,TRUE
11,19,2008,40.5,16.39676113,205,Duramax,no,NA,NA,NA,NA,TRUE
12,19,2009,40.5,16.39676113,158,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
13,19,2009,40.5,16.39676113,193,Durango,no,Corn,NA,NA,NA,TRUE
14,19,2010,40.5,16.39676113,209,Roundup.PowerMax,no,Corn,NA,NA,NA,TRUE
15,19,2010,40.5,16.39676113,315,Princep.4L,yes,Corn,NA,NA,NA,FALSE
16,19,2010,40.5,16.39676113,315,2.4.D.SWB,no,Corn,NA,NA,NA,FALSE
17,20,2005,9.1,3.684210526,91,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
18,20,2005,9.1,3.684210526,114,Marksman,yes,Corn,NA,NA,NA,FALSE
19,20,2005,9.1,3.684210526,114,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
20,20,2006,9.1,3.684210526,116,Glyphomax.XRT,yes,Corn,NA,NA,NA,TRUE
21,20,2006,9.1,3.684210526,116,2.4.D.LVE4,no,Corn,NA,NA,NA,FALSE
22,20,2006,9.1,3.684210526,183,Glyphomax.XRT,yes,Corn,NA,NA,NA,TRUE
23,20,2007,9.1,3.684210526,199,Glyphomax.XRT,yes,Soybean,NA,NA,NA,TRUE
24,20,2007,9.1,3.684210526,199,Scepter.70DG,yes,Soybean,NA,NA,NA,FALSE
25,20,2008,9.1,3.684210526,121,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
26,20,2008,9.1,3.684210526,171,Duramax,no,Corn,NA,NA,NA,TRUE
27,20,2009,9.1,3.684210526,158,Gramoxone.Inteon,yes,Soybean,NA,NA,NA,FALSE
28,20,2009,9.1,3.684210526,158,Sonic,yes,Soybean,NA,NA,NA,FALSE
29,20,2009,9.1,3.684210526,209,Durango,no,Soybean,NA,NA,NA,TRUE
30,20,2009,9.1,3.684210526,209,Scepter.70DG,yes,Soybean,NA,NA,NA,FALSE
31,20,2010,9.1,3.684210526,116,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
32,20,2010,9.1,3.684210526,150,Roundup.PowerMax,no,Corn,NA,NA,NA,TRUE
33,20,2010,9.1,3.684210526,315,Glyphosate.41pc,yes,Corn,NA,NA,NA,TRUE
34,20,2010,9.1,3.684210526,315,2.4.D.SWB,no,Corn,NA,NA,NA,FALSE
35,21,2005,3.6,1.457489879,91,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
36,21,2005,3.6,1.457489879,114,Marksman,yes,Corn,NA,NA,NA,FALSE
37,21,2005,3.6,1.457489879,114,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
38,21,2006,3.6,1.457489879,116,Glyphomax.XRT,yes,Corn,NA,NA,NA,TRUE
39,21,2006,3.6,1.457489879,116,2.4.D.LVE4,no,Corn,NA,NA,NA,FALSE
40,21,2006,3.6,1.457489879,183,Glyphomax.XRT,yes,Corn,NA,NA,NA,TRUE
41,21,2007,3.6,1.457489879,199,Glyphomax.XRT,yes,Soybean,NA,NA,NA,TRUE
42,21,2007,3.6,1.457489879,199,Scepter.70DG,yes,Soybean,NA,NA,NA,FALSE
43,21,2008,3.6,1.457489879,121,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
44,21,2008,3.6,1.457489879,171,Duramax,no,Corn,NA,NA,NA,TRUE
45,21,2009,3.6,1.457489879,158,Gramoxone.Inteon,yes,Soybean,NA,NA,NA,FALSE
46,21,2009,3.6,1.457489879,158,Sonic,yes,Soybean,NA,NA,NA,FALSE
47,21,2009,3.6,1.457489879,209,Durango,no,Soybean,NA,NA,NA,TRUE
48,21,2009,3.6,1.457489879,209,Scepter.70DG,yes,Soybean,NA,NA,NA,FALSE
49,21,2010,3.6,1.457489879,116,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
50,21,2010,3.6,1.457489879,150,Roundup.PowerMax,no,Corn,NA,NA,NA,TRUE
51,21,2010,3.6,1.457489879,315,Glyphosate.41pc,yes,Corn,NA,NA,NA,TRUE
52,21,2010,3.6,1.457489879,315,2.4.D.SWB,no,Corn,NA,NA,NA,FALSE
53,22,2004,16.2,6.558704453,110,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
54,22,2004,16.2,6.558704453,127,Marksman,yes,Corn,NA,NA,NA,FALSE
55,22,2004,16.2,6.558704453,127,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
56,22,2005,16.2,6.558704453,121,Pendimax,yes,Soybean,NA,NA,NA,FALSE
57,22,2005,16.2,6.558704453,121,Glyphomax.XRT,yes,Soybean,NA,NA,NA,TRUE
58,22,2005,16.2,6.558704453,121,2.4.D.LVE4,no,Soybean,NA,NA,NA,FALSE
59,22,2005,16.2,6.558704453,172,Glyphomax.XRT,yes,Soybean,NA,NA,NA,TRUE
60,22,2006,16.2,6.558704453,104,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
61,22,2006,16.2,6.558704453,162,Glyphomax.XRT,yes,Corn,NA,NA,NA,TRUE
62,22,2007,16.2,6.558704453,121,Glyphomax.XRT,yes,Soybean,NA,NA,NA,TRUE
63,22,2007,16.2,6.558704453,121,2.4.D.LVE4,no,Soybean,NA,NA,NA,FALSE
64,22,2007,16.2,6.558704453,183,Glyphomax.XRT,yes,Soybean,NA,NA,NA,TRUE
65,22,2007,16.2,6.558704453,183,Scepter.70DG,yes,Soybean,NA,NA,NA,FALSE
66,22,2008,16.2,6.558704453,126,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
67,22,2008,16.2,6.558704453,183,Duramax,no,Corn,NA,NA,NA,TRUE
68,22,2009,16.2,6.558704453,209,Durango,no,Soybean,NA,NA,NA,TRUE
69,22,2009,16.2,6.558704453,209,Scepter.70DG,yes,Soybean,NA,NA,NA,FALSE
70,22,2010,16.2,6.558704453,116,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
71,22,2010,16.2,6.558704453,150,Roundup.PowerMax,no,Corn,NA,NA,NA,TRUE
72,22,2010,16.2,6.558704453,315,Glyphosate.41pc,yes,Corn,NA,NA,NA,TRUE
73,22,2010,16.2,6.558704453,315,2.4.D.SWB,no,Corn,NA,NA,NA,FALSE
74,23,2004,8.5,3.441295547,110,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
75,23,2004,8.5,3.441295547,127,Marksman,yes,Corn,NA,NA,NA,FALSE
76,23,2004,8.5,3.441295547,127,Guardsman.Max,yes,Corn,NA,NA,NA,FALSE
77,23,2005,8.5,3.441295547,121,Pendimax,yes,Soybean,NA,NA,NA,FALSE
78,23,2005,8.5,3.441295547,121,Glyphomax.XRT,yes,Soybean,NA,NA,NA,TRUE
79,23,2005,8.5,3.441295547,121,2.4.D.LVE4,no,Soybean,NA,NA,NA,FALSE
80,23,2005,8.5,3.441295547,172,Glyphomax.XRT,yes,Soybean,NA,NA,NA,TRUE
