site.num,subrep,collect.year,run.year,id,round,dose,nResist,nInt,nSens,nTot,pRes
1,a,2010,2010,1a,2010_7,1.5,14,2,5,21,0.666666667
1,a,2010,2010,1a,2010_10,1.5x,13,15,0,28,0.464285714
2,a,2010,2010,2a,2010_7,1.5,9,4,8,21,0.428571429
3,a,2010,2010,3a,2010_7,1.5,4,6,11,21,0.19047619
4,a,2010,2010,4a,2010_6,1.5x,4,1,16,21,0.19047619
4,a,2010,2010,4a,2010_7,1.5x,0,0,21,21,0
4,a,2010,2010,4a,2010_10,1.5x,0,11,10,21,0
5,a,2010,2010,5a,2010_6,1.5x,18,0,3,21,0.857142857
5,a,2010,2010,5a,2010_7,1.5x,9,6,6,21,0.428571429
6,a,2010,2010,6a,2010_6,1.5x,9,1,11,21,0.428571429
7,a,2010,2010,7a,2010_6,1.5x,6,3,12,21,0.285714286
8,a,2010,2010,8a,2010_6,1.5x,1,1,19,21,0.047619048
10,a,2010,2010,10a,2010_7,1.5x,3,5,13,21,0.142857143
11,a,2010,2010,11a,2010_7,1.5x,6,4,11,21,0.285714286
12,a,2010,2010,12a,2010_6,1.5x,1,2,18,21,0.047619048
13,a,2010,2010,13a,2010_8,1.5x,0,5,16,21,0
14,a,2010,2010,14a,2010_8,1.5x,4,2,15,21,0.19047619
15,a,2010,2010,15a,2010_8,1.5x,8,7,6,21,0.380952381
16,a,2010,2010,16a,2010_7,1.5x,17,4,0,21,0.80952381
17,a,2010,2010,17a,2010_10,1.5x,8,10,3,21,0.380952381
18,a,2010,2010,18a,2010_8,1.5x,7,11,3,21,0.333333333
18,b,2010,2010,18b,2010_8,1.5x,16,5,0,21,0.761904762
18,c,2010,2010,18c,2010_6,1.5x,11,3,7,21,0.523809524
18,c,2010,2010,18c,2010_10,1.5x,11,7,3,21,0.523809524
25,a,2010,2010,25a,2010_8,1.5x,0,1,20,21,0
27,a,2010,2010,27a,2010_8,1.5x,2,2,17,21,0.095238095
29,a,2010,2010,29a,2010_8,1.5x,1,9,11,21,0.047619048
30,a,2010,2010,30a,2010_6,1.5x,1,0,20,21,0.047619048
35,a,2010,2010,35a,2010_6,1.5x,2,3,16,21,0.095238095
36,a,2010,2010,36a,2010_8,1.5x,1,1,19,21,0.047619048
37,a,2010,2010,37a,2010_8,1.5x,0,0,21,21,0
38,a,2010,2010,38a,2010_8,1.5x,0,8,13,21,0
40,a,2010,2010,40a,2010_8,1.5x,4,9,8,21,0.19047619
41,a,2010,2010,41a,2010_6,1.5x,2,2,17,21,0.095238095
42,a,2010,2010,42a,2010_8,1.5x,0,3,18,21,0
43,a,2010,2010,43a,2010_7,1.5x,2,2,15,19,0.105263158
44,a,2010,2010,44a,2010_6,1.5x,1,1,19,21,0.047619048
45,a,2010,2010,45a,2010_6,1.5x,4,3,14,21,0.19047619
46,a,2010,2010,46a,2010_6,1.5x,0,0,21,21,0
47,a,2010,2010,47a,2010_7,1.5x,0,2,19,21,0
49,a,2010,2010,49a,2010_7,1.5x,0,0,21,21,0
50,a,2010,2010,50a,2010_8,1.5x,0,1,20,21,0
51,a,2010,2010,51a,2010_8,1.5x,0,2,19,21,0
51,a,2010,2010,51a,2010_10,1.5x,1,11,9,21,0.047619048
52,a,2010,2010,52a,2010_7,1.5x,0,7,14,21,0
53,a,2010,2010,53a,2010_8,1.5x,0,5,16,21,0
54,a,2010,2010,54a,2010_4,1.5x,1,4,16,21,0.047619048
54,a,2010,2010,54a,2010_7,1.5x,0,1,20,21,0
55,a,2010,2010,55a,2010_8,1.5x,8,6,7,21,0.380952381
55,a,2010,2010,55a,2010_10,1.5x,9,4,8,21,0.428571429
56,a,2010,2010,56a,2010_8,1.5x,8,4,9,21,0.380952381
58,a,2010,2010,58a,2010_6,1.5x,0,0,21,21,0
59,a,2010,2010,59a,2010_8,1.5x,7,8,6,21,0.333333333
59,a,2010,2010,59a,2010_10,1.5x,3,18,2,23,0.130434783
60,a,2010,2010,60a,2010_7,1.5x,0,0,21,21,0
61,a,2010,2010,61a,2010_4,1.5x,0,2,6,8,0
62,a,2010,2010,62a,2010_4,1.5x,0,2,16,18,0
63,a,2010,2010,63a,2010_4,1.5x,0,1,16,17,0
64,a,2010,2010,64a,2010_4,1.5x,0,2,19,21,0
65,a,2010,2010,65a,2010_4,1.5x,0,0,11,11,0
66,a,2010,2010,66a,2010_4,1.5x,0,3,18,21,0
66,a,2010,2010,66a,2010_7,1.5x,0,1,20,21,0
66,a,2010,2010,66a,2010_10,1.5x,0,5,16,21,0
67,a,2010,2010,67a,2010_4,1.5x,0,4,15,19,0
68,a,2010,2010,68a,2010_8,1.5x,0,0,7,7,0
70,a,2010,2010,70a,2010_4,1.5x,0,1,13,14,0
71,a,2010,2010,71a,2010_4,1.5x,1,2,18,21,0.047619048
71,a,2010,2010,71a,2010_7,1.5x,0,1,20,21,0
72,a,2010,2010,72a,2010_6,1.5x,11,2,8,21,0.523809524
