index,site.num,mgt.data,res.rank,nw.lat,nw.lon,elev.m,max.slope,tot.border.m,p.trees.bord,p.treerow.bord,p.forest.bord,p.ag.bord,p.house.bord,p.road,closest.forest.m,closest.road.m,bare.patch.m,bare.patch.num,grs.wtwy,trans.grswtwy,grass.waterway.m,nearest.stream.m,num.fld.corners,perim.m,ha,edge.interior,amata.sd.m2,SOC.pc,P.ppm,K.ppm,Mg.ppm,Ca.ppm,pH,buff.pH,CEC,K.pc,Mg.pc,Ca.pc,S.ppm,Zn.ppm,Mn.ppm,Fe.ppm,Cu.ppm,B.ppm,NO3.ppm,NH4.ppm,c.n.ratio,som.pc.comb,totN.pc,bulk.dens,sand.pc,silt.pc,clay.pc,texture,whc.0.33.bar,whc.15.bar,low.spot,watercourse.infld,watercourse.side,manure,crop.2010,border.wh.2010,amata.infest.2010,amata.absent.2010,amata.high.2010,ABUTH.2010,AMAsp.2010,AMBEL.2010,AMBTR.2010,CHEAL.2010,ERICA.2010,grass.2010,IPOHE.2010,SIDSP.2010,XANST.2010
1,1,no,top,39.060276,-125.303601,181,0.003,2339,0.42,0.34,0.08,0,0,0.59,182,214,29,2,yes,yes,618.27,193.08,4,2284,28.3,0.0081,4547,2.1,19,93,120,900,5.3,6.7,9.3,2.6,10.7,48.2,12,2,47,58,1,0.2,39,3,8.2,1.2,0.148,1.28,20,64,16,silt.loam,29.63,7.52,0,1,0,0,Soybean,1,M,0,0,0,0,0,0,0,1,0,0,0,0
2,2,no,top,39.063887,-125.307289,183,0.007,1037,0.51,0.08,0.43,0,0,0.53,99,68,187,3,no,no,236.91,233.5,6,1016,7.3,0.0139,1162,2.4,39,116,110,950,5.4,6.7,9.6,3.1,9.6,49.7,11,2,42,70,1,0.2,35,3,8.6,1.4,0.162,1.21,14,66,20,silt.loam,29.74,8.75,0,0,0,0,Soybean,1,H,0,1,0,0,0,0,0,0,0,0,0,0
3,3,no,middle,39.057818,-125.297009,180,0.008,1583,0.16,0.16,0,0.34,0.11,0.51,337,162,615,6,yes,no,404.88,418.84,4,1528,13.9,0.011,2055,2.1,33,135,125,950,5.7,6.8,8.5,4.1,12.2,55.6,17,2,46,49,0.8,0.2,34,3,8.7,1.2,0.14,1.36,20,64,16,silt.loam,27.05,6.97,0,0,0,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,0,0,0
4,4,no,middle,39.056598,-125.298017,180,0.009,1618,0.350432633,0.04,0,0.68,0.03,0.569839308,210,304,215,4,yes,no,552.08,550.41,19,1956,13.8,0.0141,1067,2.5,27,169,115,850,5.5,6.7,9.2,4.7,10.4,46,14,1,51,47,0.8,0.2,30,2,9.9,1.5,0.147,1.32,18,66,16,silt.loam,26.68,7.59,0,0,0,0,Soybean,1,M,0,1,0,0,0,0,0,0,0,0,0,0
5,5,no,top,39.053368,-125.302063,180,0.01,654,0.99,0.1,0.89,0,0,0.01,31,403,22,1,yes,no,200.25,464.23,18,672,2.2,0.0307,596,2.3,19,116,100,700,5.4,6.7,8.2,3.6,10.1,42.5,9,5,54,35,1.3,0.2,32,2,8.2,1.3,0.163,1.29,20,62,18,silt.loam,25.77,7.34,0,0,0,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,0,0,0
6,6,no,top,39.053169,-125.298126,180,0.011,1028,0.35,0,0.35,0,0,0.66,70,59,26,1,yes,no,72.32,690.05,17,1170,4.6,0.0256,13099,2.7,30,137,140,1250,6.7,6.9,9,3.9,13,69.7,19,2,58,43,0.8,0.2,41,2,11,1.6,0.142,1.29,18,64,18,silt.loam,26.65,7.27,0,0,0,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
7,7,no,middle,39.058263,-125.294838,176,0.015,1044,0.55,0.29,0.26,0,0.07,0.36,56,160,337,2,yes,no,80.78,287.32,11,1128,6.1,0.0186,1215,3,20,106,165,1100,6,6.8,9.5,2.8,14.4,57.6,13,2,50,30,0.7,0.2,33,2,9.7,1.7,0.179,1.31,20,60,20,silt.loam,28.65,8.67,1,1,0,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
8,8,no,bottom,39.05436,-125.291367,176,0.011,1673,0.728631201,0,0.53,0.15,0,0.404662283,69,61,53,3,no,no,0,221.96,16,1763,19.8,0.0089,1533,2.4,17,113,185,1200,6.5,6.9,9,3.2,17.1,66.4,13,2,50,20,0.7,0.2,36,2,9.4,1.4,0.148,1.27,22,60,18,silt.loam,28.54,8.57,0,0,0,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,1,0,0
9,10,no,middle,39.048666,-125.305274,178,0.006,900,0.618888889,0,0.73,0.26,0,0.216666667,72,121,0,0,yes,no,58.13,435,9,851,2.8,0.03,2479,2.7,25,129,175,900,6.1,6.9,7.5,4.4,19.5,60.1,14,2,58,38,0.8,0.2,43,3,13.2,1.6,0.119,1.27,22,62,16,silt.loam,29.71,6.73,0,0,0,0,Soybean,1,M,0,0,0,0,0,0,0,1,0,0,0,0
10,11,no,middle,39.110421,-125.401096,187,0.006,1610,0.242857143,0,0.11,0.89,0.06,0.514285714,345,260,72,1,yes,yes,261,303,4,1590,16.2,0.0098,638,2.5,28,125,180,1150,6.7,6.9,8.8,3.7,17.1,65.6,9,5,40,42,0.9,0.7,13,2,11.9,1.5,0.122,1.28,20,62,18,silt.loam,30.47,7.53,0,0,1,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
11,12,no,bottom,39.080581,-125.414146,187,0.008,1208,0,0,0,0.45,0.16,0.44,231,75,488,4,no,no,0,411.11,7,1269,6.5,0.0196,222,2.7,48,139,130,1350,6.7,6.9,9.4,3.8,11.5,71.9,8,7,59,65,1.2,0.5,13,2,11.3,1.6,0.138,1.34,18,62,20,silt.loam,31.46,8.75,0,0,0,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,0,0,0
12,13,no,bottom,39.1071166,-125.418743,189,0.002,1629,0,0,0,0.42,0.06,0.43,804,72,367,5,yes,yes,611.34,774.78,4,1506,9.3,0.0162,446,2.4,46,185,225,1200,6.4,6.9,9.5,5,19.6,62.8,12,7,50,69,1.4,0.3,39,2,11.4,1.4,0.122,1.18,18,62,20,silt.loam,31.3,8.21,1,0,0,0,Corn,1,H,0,1,0,0,0,0,0,0,1,0,0,0
