0.008,0.009,0,0.017,0.033,0,0.025,0.035,0.034,0.115,0.076,0.067,0.076,0.049,0.042,0.008,0.016,0,0
0.017,0.017,0.017,0.025,0.008,0.017,0.076,0.009,0.051,0.018,0.076,0.017,0.057,0.023,0.025,0,0.011,0,0.008
0,0,0,0.017,0.008,0.017,0.017,0.018,0.017,0,0.025,0.017,0.019,0.014,0.013,0.008,0.007,0,0
0,0,0,0,0.017,0,0.034,0.018,0.026,0.142,0.034,0.042,0.01,0.02,0.013,0.008,0.011,0.025,0.013
0,0,0,0,0,0,0.017,0.009,0.051,0.053,0.034,0.008,0,0.006,0.005,0.008,0.004,0,0
0,0.009,0,0,0.025,0.033,0.059,0.088,0.085,0.035,0.017,0.042,0.086,0.057,0.063,0.048,0.062,0.126,0.076
0.008,0,0,0,0.025,0.008,0.059,0.018,0.009,0.018,0,0.05,0.038,0.037,0.033,0.024,0.019,0,0
0,0,0.008,0.017,0.025,0.091,0.051,0.053,0.026,0.027,0.042,0.067,0.057,0.049,0.042,0.024,0.022,0,0
0,0,0,0.008,0.05,0.083,0.017,0.071,0.043,0.018,0.042,0.05,0.076,0.043,0.04,0.008,0.019,0,0.008
0,0,0,0.008,0.017,0.008,0.042,0.035,0.034,0.035,0.051,0.008,0.019,0.009,0.009,0,0.006,0.008,0.008
0.017,0.026,0.008,0.025,0.058,0.033,0.017,0.08,0.051,0.062,0.059,0.059,0.067,0.046,0.041,0.016,0.036,0.034,0.051
0.008,0,0,0.008,0.033,0.041,0.034,0.009,0.026,0.027,0.034,0.025,0.01,0.011,0.007,0,0.002,0,0
0,0.026,0.059,0.058,0.025,0.099,0.025,0.027,0.06,0.088,0.051,0.042,0.019,0.023,0.016,0.008,0.023,0.042,0.047
0.008,0.017,0.008,0.025,0.042,0.025,0.017,0,0.026,0,0.017,0,0.01,0.003,0.004,0,0.018,0.034,0.051
0,0,0.059,0.067,0.025,0.025,0.034,0,0,0.035,0,0.008,0,0.029,0.036,0.072,0.046,0.034,0.03
0.017,0.034,0.101,0.042,0.075,0.066,0.025,0.027,0.017,0,0.017,0.05,0.067,0.049,0.048,0.032,0.041,0.059,0.042
0.042,0.077,0.067,0.058,0.033,0.033,0,0,0,0,0.008,0,0,0.003,0.004,0.008,0.01,0.008,0.017
0.059,0.068,0.101,0.058,0.033,0.058,0,0.009,0,0,0.008,0.034,0.029,0.023,0.019,0.008,0.017,0.042,0.025
0.153,0.145,0.076,0.075,0.067,0.008,0.017,0.009,0.009,0,0.008,0.017,0.01,0.02,0.021,0.032,0.029,0.017,0.034
