Depth (cm),Original Distribution,Pass 1,,,,,,,,,
Implement Used,None,Chisel Plow,,proportion,,sum_proportion,,,,,
0 cm,1600,1283,,0.267291667,,0.591666667,,top remained,,,
1 cm,1600,914,,0.190416667,,,,,,,
2 cm,1600,643,,0.133958333,,,,,,,
3 cm,0,799,,0.166458333,,0.404791667,,top moved down,,,
4 cm,0,281,,0.058541667,,,,,,,
5 cm,0,343,,0.071458333,,,,,,,
6 cm,0,118,,0.024583333,,,,,,2 x 2 matrix,
7 cm,0,117,,0.024375,,,,,,0.591666667,0.073125
8 cm,0,23,,0.004791667,,,,,,0.404791667,0.91375
9 cm,0,81,,0.016875,,,,,,,
10 cm,0,23,,0.004791667,,,,,,,
11 cm,0,56,,0.011666667,,,,,,,
12 cm,0,79,,0.016458333,,,,,,,
13 cm,0,23,,0.004791667,,,,,,,
14 cm,0,0,,0,,,,,,,
15 cm,0,0,,0,,,,,,,
16 cm,0,0,,0,,,,,,,
17 cm,0,0,,0,,,,,,,
18 cm,0,0,,0,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Depth (cm),Original Distribution,Pass 1,,,,,,,,,
Implement Used,None,Chisel Plow,,,,,,,,,
0 cm,0,147,,0.030625,,0.073125,,bottom moved up,,,
1 cm,0,124,,0.025833333,,,,,,,
2 cm,0,80,,0.016666667,,,,,,,
3 cm,300,147,,0.030625,,0.91375,,bottom remained,,,
4 cm,300,122,,0.025416667,,,,,,,
5 cm,300,213,,0.044375,,,,,,,
6 cm,300,249,,0.051875,,,,,,,
7 cm,300,245,,0.051041667,,,,,,,
8 cm,300,253,,0.052708333,,,,,,,
9 cm,300,285,,0.059375,,,,,,,
10 cm,300,266,,0.055416667,,,,,,,
11 cm,300,256,,0.053333333,,,,,,,
12 cm,300,385,,0.080208333,,,,,,,
13 cm,300,392,,0.081666667,,,,,,,
14 cm,300,350,,0.072916667,,,,,,,
15 cm,300,323,,0.067291667,,,,,,,
16 cm,300,300,,0.0625,,,,,,,
17 cm,300,300,,0.0625,,,,,,,
18 cm,300,300,,0.0625,,,,,,,
