Depth (cm),Original Distribution,Pass 1,,,,,,,,,
Implement Used,None,Moldboard Plow (*),,proportion,,sum_proportion,,,,,
0 cm,1600,48,,0.01,,0.016875,,top remained,,,
1 cm,1600,15,,0.003125,,,,,,,
2 cm,1600,18,,0.00375,,,,,,,
3 cm,0,33,,0.006875,,0.976875,,top moved down,,,
4 cm,0,60,,0.0125,,,,,,,
5 cm,0,72,,0.015,,,,,,,
6 cm,0,84,,0.0175,,,,,,,
7 cm,0,108,,0.0225,,,,,,,
8 cm,0,162,,0.03375,,,,,,,
9 cm,0,243,,0.050625,,,,,,2 x 2 matrix,
10 cm,0,285,,0.059375,,,,,,,
11 cm,0,324,,0.0675,,,,,,0.016875,0.077708333
12 cm,0,405,,0.084375,,,,,,0.976875,0.8925
13 cm,0,456,,0.095,,,,,,,
14 cm,0,471,,0.098125,,,,,,,
15 cm,0,480,,0.1,,,,,,,
16 cm,0,489,,0.101875,,,,,,,
17 cm,0,504,,0.105,,,,,,,
18 cm,0,513,,0.106875,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Depth (cm),Original Distribution,Pass 1,,,,,,,,,
Implement Used,None,Moldboard Plow (*),,,,,,,,,
0 cm,0,27,,0.005625,,0.077708333,,bottom moved up,,,
1 cm,0,105,,0.021875,,,,,,,
2 cm,0,241,,0.050208333,,,,,,,
3 cm,300,268,,0.055833333,,0.8925,,bottom remained,,,
4 cm,300,255,,0.053125,,,,,,,
5 cm,300,247,,0.051458333,,,,,,,
6 cm,300,242,,0.050416667,,,,,,,
7 cm,300,226,,0.047083333,,,,,,,
8 cm,300,226,,0.047083333,,,,,,,
9 cm,300,237,,0.049375,,,,,,,
10 cm,300,244,,0.050833333,,,,,,,
11 cm,300,248,,0.051666667,,,,,,,
12 cm,300,259,,0.053958333,,,,,,,
13 cm,300,274,,0.057083333,,,,,,,
14 cm,300,291,,0.060625,,,,,,,
15 cm,300,299,,0.062291667,,,,,,,
16 cm,300,308,,0.064166667,,,,,,,
17 cm,300,327,,0.068125,,,,,,,
18 cm,300,333,,0.069375,,,,,,,
,,,lost,,,,,,,,
,4800,4657,143,,,,,,,,
