"Plot","Side","Quadrat","Crop","Rotation","Herbicide","Corn_weed_management","Cohort","Color","Date_begin","Date_end","Block","Crop_ID","Year","Interval","Sex","Weight"
"11","E","1","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.9341
"11","E","2","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.8149
"11","E","2","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.865
"11","E","2","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",1.6427
"11","E","2","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.1437
"11","E","2","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.2213
"11","E","2","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.2458
"11","E","2","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.5444
"11","E","3","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.4872
"11","E","3","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.1142
"11","E","3","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.1256
"11","E","3","oat","3-year","low","low",2,"purple",2019-07-01,2019-09-30,"1","O3","2019",91,"female",0.0563
"11","E","3","oat","3-year","low","low",2,"purple",2019-07-01,2019-09-30,"1","O3","2019",91,"female",0.0856
"11","E","4","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.3429
"11","E","4","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.3649
"11","E","4","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.7507
"11","E","4","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.1049
"11","E","4","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.1503
"11","E","4","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.1904
"11","E","4","oat","3-year","low","low",3,"red",2019-07-23,2019-09-30,"1","O3","2019",69,"female",0.0759
"11","E","5","oat","3-year","low","low",4,"blue",2019-08-09,2019-09-30,"1","O3","2019",52,"female",0.0804
"11","E","5","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.2421
"11","E","8","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.8047
"11","E","8","oat","3-year","low","low",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.3987
"11","W","1","oat","3-year","conv","conv",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.0693
"11","W","1","oat","3-year","conv","conv",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.1525
"11","W","1","oat","3-year","conv","conv",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",1.0545
"11","W","1","oat","3-year","conv","conv",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",2.9692
"11","W","4","oat","3-year","conv","conv",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",1.0237
"11","W","4","oat","3-year","conv","conv",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.325
"11","W","5","oat","3-year","conv","conv",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.0572
"11","W","5","oat","3-year","conv","conv",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.0681
"11","W","5","oat","3-year","conv","conv",1,"plain",2019-06-06,2019-09-30,"1","O3","2019",116,"female",0.1009
