yr,sp,ev,trt,type,blk,sam,%pred
1,W,1,CP,s,1,1,16
1,W,1,CP,s,1,2,4
1,W,1,CP,s,1,3,0
1,W,1,CP,s,2,1,2
1,W,1,CP,s,2,2,2
1,W,1,CP,s,2,3,6
1,W,1,CP,s,3,1,2
1,W,1,CP,s,3,2,4
1,W,1,CP,s,3,3,4
1,W,1,CP,s,4,1,8
1,W,1,CP,s,4,2,16
1,W,1,CP,s,4,3,0
1,W,1,CP,w,1,1,.
1,W,1,CP,w,1,2,90
1,W,1,CP,w,1,3,100
1,W,1,CP,w,2,1,48
1,W,1,CP,w,2,2,88
1,W,1,CP,w,2,3,88
1,W,1,CP,w,3,1,100
1,W,1,CP,w,3,2,94
1,W,1,CP,w,3,3,96
1,W,1,CP,w,4,1,72
1,W,1,CP,w,4,2,96
1,W,1,CP,w,4,3,90
1,W,1,MP,s,1,1,2
1,W,1,MP,s,1,2,10
1,W,1,MP,s,1,3,0
1,W,1,MP,s,2,1,22
1,W,1,MP,s,2,2,2
1,W,1,MP,s,2,3,14
1,W,1,MP,s,3,1,38
1,W,1,MP,s,3,2,2
1,W,1,MP,s,3,3,2
1,W,1,MP,s,4,1,2
1,W,1,MP,s,4,2,0
1,W,1,MP,s,4,3,4
1,W,1,MP,w,1,1,90
1,W,1,MP,w,1,2,94
1,W,1,MP,w,1,3,96
1,W,1,MP,w,2,1,96
1,W,1,MP,w,2,2,90
1,W,1,MP,w,2,3,98
1,W,1,MP,w,3,1,70
1,W,1,MP,w,3,2,96
1,W,1,MP,w,3,3,44
1,W,1,MP,w,4,1,96
1,W,1,MP,w,4,2,100
1,W,1,MP,w,4,3,92
1,W,1,NT,s,1,1,4
1,W,1,NT,s,1,2,6
1,W,1,NT,s,1,3,2
1,W,1,NT,s,2,1,0
1,W,1,NT,s,2,2,12
1,W,1,NT,s,2,3,0
1,W,1,NT,s,3,1,18
1,W,1,NT,s,3,2,0
1,W,1,NT,s,3,3,6
1,W,1,NT,s,4,1,14
1,W,1,NT,s,4,2,8
1,W,1,NT,s,4,3,12
1,W,1,NT,w,1,1,16
1,W,1,NT,w,1,2,100
1,W,1,NT,w,1,3,88
1,W,1,NT,w,2,1,78
1,W,1,NT,w,2,2,86
1,W,1,NT,w,2,3,76
1,W,1,NT,w,3,1,84
1,W,1,NT,w,3,2,70
1,W,1,NT,w,3,3,78
1,W,1,NT,w,4,1,58
1,W,1,NT,w,4,2,18
1,W,1,NT,w,4,3,16
1,W,2,CP,s,1,1,48
1,W,2,CP,s,1,2,32
1,W,2,CP,s,1,3,28
1,W,2,CP,s,2,1,24
1,W,2,CP,s,2,2,28
1,W,2,CP,s,2,3,28
1,W,2,CP,s,3,1,32
1,W,2,CP,s,3,2,60
1,W,2,CP,s,3,3,26
1,W,2,CP,s,4,1,60
1,W,2,CP,s,4,2,56
