Corn_weed_management,from_Phase,to_Phase,winter_month,summer_month,Stratum,Coefficient_a,Coefficient_a_SE,Coefficient_b,Coefficient_b_SE
low,C2,S2,6,6,Top,98.9,2.9,-0.068,0.004
low,S2,C2,6,6,Top,98.9,2.9,-0.068,0.004
low,C3,S3,6,6,Top,98.9,2.9,-0.068,0.004
low,S3,O3,6,6,Top,98.9,2.9,-0.068,0.004
low,O3,C3,6.5,5.5,Top,98.9,2.9,-0.068,0.004
low,C4,S4,6,6,Top,98.9,2.9,-0.068,0.004
low,S4,O4,6,6,Top,98.9,2.9,-0.068,0.004
low,O4,A4,6.5,5.5,Top,98.9,2.9,-0.068,0.004
low,A4,C4,7.5,4.5,Top,98.9,2.9,-0.068,0.004
conv,C2,S2,6,6,Top,98.9,2.9,-0.068,0.004
conv,S2,C2,6,6,Top,98.9,2.9,-0.068,0.004
conv,C3,S3,6,6,Top,98.9,2.9,-0.068,0.004
conv,S3,O3,6,6,Top,98.9,2.9,-0.068,0.004
conv,O3,C3,6.5,5.5,Top,98.9,2.9,-0.068,0.004
conv,C4,S4,6,6,Top,98.9,2.9,-0.068,0.004
conv,S4,O4,6,6,Top,98.9,2.9,-0.068,0.004
conv,O4,A4,6.5,5.5,Top,98.9,2.9,-0.068,0.004
conv,A4,C4,7.5,4.5,Top,98.9,2.9,-0.068,0.004
low,C2,S2,6,6,Bottom,99.5,2.7,-0.05,0.0031
low,S2,C2,6,6,Bottom,99.5,2.7,-0.05,0.0031
low,C3,S3,6,6,Bottom,99.5,2.7,-0.05,0.0031
low,S3,O3,6,6,Bottom,99.5,2.7,-0.05,0.0031
low,O3,C3,6.5,5.5,Bottom,99.5,2.7,-0.05,0.0031
low,C4,S4,6,6,Bottom,99.5,2.7,-0.05,0.0031
low,S4,O4,6,6,Bottom,99.5,2.7,-0.05,0.0031
low,O4,A4,6.5,5.5,Bottom,99.5,2.7,-0.05,0.0031
low,A4,C4,7.5,4.5,Bottom,99.5,2.7,-0.05,0.0031
conv,C2,S2,6,6,Bottom,99.5,2.7,-0.05,0.0031
conv,S2,C2,6,6,Bottom,99.5,2.7,-0.05,0.0031
conv,C3,S3,6,6,Bottom,99.5,2.7,-0.05,0.0031
conv,S3,O3,6,6,Bottom,99.5,2.7,-0.05,0.0031
conv,O3,C3,6.5,5.5,Bottom,99.5,2.7,-0.05,0.0031
conv,C4,S4,6,6,Bottom,99.5,2.7,-0.05,0.0031
conv,S4,O4,6,6,Bottom,99.5,2.7,-0.05,0.0031
conv,O4,A4,6.5,5.5,Bottom,99.5,2.7,-0.05,0.0031
conv,A4,C4,7.5,4.5,Bottom,99.5,2.7,-0.05,0.0031
