"Plot","Side","Crop_ID","Corn_weed_management","Sample_weight_gram","Sample_soil_analysis_gram","Sample_elutriated_gram","Elutriated_area_m2","Conversion_factor","Strata","Total_viable_density_check","AMATA_total_viable","AMATA_readily_germinable","AMATA_dormant","AMATA_dead","Year","Block","Crop","Rotation","AMATA_total_viable_density","AMATA_readily_germinable_density","AMATA_dormant_density","AMATA_dead_density","Community_total_viable_density"
"11","W","O3","conv",624.9,44.5,580.4,0.00799,125.1564456,"Top",NA,14,13,1,12,"2019","1","oat","3-year",1752.1902384,1627.0337928,125.1564456,1501.8773472,5632.040052
"11","E","O3","low",699.9,50,649.9,0.00799,125.1564456,"Top",NA,68,51,17,99,"2019","1","oat","3-year",8510.6383008,6382.9787256,2127.6595752,12390.4881144,13892.3654616
"12","W","C4","conv",807.4,42.1,765.3,0.00815,122.6993865,"Top",NA,2,2,0,3,"2019","1","corn","4-year",245.398773,245.398773,0,368.0981595,736.196319
"12","E","C4","low",789.9,42.3,747.6,0.00814,122.8501229,"Top",NA,1,1,0,5,"2019","1","corn","4-year",122.8501229,122.8501229,0,614.2506145,737.1007374
"13","W","S2","low",594.9,42.7,552.2,0.00798,125.3132832,"Top",NA,7,2,5,11,"2019","1","soybean","2-year",877.1929824,250.6265664,626.566416,1378.4461152,4511.2781952
"13","E","S2","conv",654,41.8,612.2,0.00805,124.2236025,"Top",NA,3,1,2,14,"2019","1","soybean","2-year",372.6708075,124.2236025,248.447205,1739.130435,621.1180125
"14","W","O4","low",721.7,45.7,676,0.00806,124.0694789,"Top",NA,145,91,54,200,"2019","1","oat","4-year",17990.0744405,11290.3225799,6699.7518606,24813.89578,29776.674936
"14","E","O4","conv",859.5,46.5,813,0.00813,123.00123,"Top",NA,170,138,32,113,"2019","1","oat","4-year",20910.2091,16974.16974,3936.03936,13899.13899,30504.30504
"15","W","S3","conv",815.6,50.7,764.9,0.00807,123.9157373,"Top",NA,4,4,0,8,"2019","1","soybean","3-year",495.6629492,495.6629492,0,991.3258984,1115.2416357
"15","E","S3","low",872.3,45.9,826.4,0.00815,122.6993865,"Top",NA,1,1,0,1,"2019","1","soybean","3-year",122.6993865,122.6993865,0,122.6993865,368.0981595
"16","W","C3","conv",699.9,41.5,658.4,0.00809,123.6093943,"Top",NA,16,13,3,26,"2019","1","corn","3-year",1977.7503088,1606.9221259,370.8281829,3213.8442518,2348.5784917
"16","E","C3","low",683.2,42.7,640.5,0.00806,124.0694789,"Top",NA,18,15,3,42,"2019","1","corn","3-year",2233.2506202,1861.0421835,372.2084367,5210.9181138,3225.8064514
"17","W","A4","low",672.9,42.3,630.6,0.00806,124.0694789,"Top",NA,84,45,39,117,"2019","1","alfalfa","4-year",10421.8362276,5583.1265505,4838.7096771,14516.1290313,16129.032257
"17","E","A4","conv",963.1,43,920.1,0.00822,121.6545012,"Top",NA,42,35,7,87,"2019","1","alfalfa","4-year",5109.4890504,4257.907542,851.5815084,10583.9416044,18734.7931848
"18","W","S4","low",394,42.7,351.3,0.00767,130.3780965,"Top",NA,2,2,0,6,"2019","1","soybean","4-year",260.756193,260.756193,0,782.268579,1303.780965
"18","E","S4","conv",612.8,45.5,567.3,0.00796,125.6281407,"Top",NA,2,2,0,4,"2019","1","soybean","4-year",251.2562814,251.2562814,0,502.5125628,2010.0502512
"19","W","C2","low",886.6,40.7,845.9,0.00821,121.8026797,"Top",NA,126,124,2,239,"2019","1","corn","2-year",15347.1376422,15103.5322828,243.6053594,29110.8404483,19610.2314317
"19","E","C2","conv",897.6,45.5,852.1,0.00816,122.5490196,"Top",NA,281,258,23,606,"2019","1","corn","2-year",34436.2745076,31617.6470568,2818.6274508,74264.7058776,37254.9019584
