"Plot","Side","Crop_ID","Corn_weed_management","Sample_weight_gram","Sample_soil_analysis_gram","Sample_elutriated_gram","Elutriated_area_m2","Conversion_factor","Stratum","Total_viable_density_check","AMATA_total_viable","AMATA_readily_germinable","AMATA_dormant","AMATA_dead","Year","Block","Crop","Rotation","AMATA_total_viable_density","AMATA_readily_germinable_density","AMATA_dormant_density","AMATA_dead_density","Community_total_viable_density"
"11","W","O3","conv",2666.3,363,2303.3,0.00743,134.589502,"Bottom",11422,21,19,2,17,"2019","1","oat","3-year",2826.379542,2557.200538,269.179004,2288.021534,5787.348586
"11","W","O3","conv",624.9,44.5,580.4,0.00799,125.1564456,"Top",NA,14,13,1,12,"2019","1","oat","3-year",1752.1902384,1627.0337928,125.1564456,1501.8773472,5632.040052
"11","E","O3","low",3065.9,361.3,2704.6,0.00759,131.7523057,"Bottom",30508,61,49,12,45,"2019","1","oat","3-year",8036.8906477,6455.8629793,1581.0276684,5928.8537565,16600.7905182
"11","E","O3","low",699.9,50,649.9,0.00799,125.1564456,"Top",NA,68,51,17,99,"2019","1","oat","3-year",8510.6383008,6382.9787256,2127.6595752,12390.4881144,13892.3654616
"12","W","C4","conv",2175.4,370.5,1804.9,0.00714,140.0560224,"Bottom",4380,10,9,1,12,"2019","1","corn","4-year",1400.560224,1260.5042016,140.0560224,1680.6722688,3641.4565824
"12","W","C4","conv",807.4,42.1,765.3,0.00815,122.6993865,"Top",NA,2,2,0,3,"2019","1","corn","4-year",245.398773,245.398773,0,368.0981595,736.196319
"12","E","C4","low",2314,367.2,1946.8,0.00724,138.121547,"Bottom",8892,7,6,1,8,"2019","1","corn","4-year",966.850829,828.729282,138.121547,1104.972376,8149.171273
"12","E","C4","low",789.9,42.3,747.6,0.00814,122.8501229,"Top",NA,1,1,0,5,"2019","1","corn","4-year",122.8501229,122.8501229,0,614.2506145,737.1007374
"13","W","S2","low",2595,370.8,2224.2,0.00737,135.6852103,"Bottom",13328,6,4,2,19,"2019","1","soybean","2-year",814.1112618,542.7408412,271.3704206,2578.0189957,8819.5386695
"13","W","S2","low",594.9,42.7,552.2,0.00798,125.3132832,"Top",NA,7,2,5,11,"2019","1","soybean","2-year",877.1929824,250.6265664,626.566416,1378.4461152,4511.2781952
