Corn_weed_management,from_Phase,to_Phase,Stratum,Seed_overwinter_pct
low,A4,C4,Bottom,81.5
conv,A4,C4,Bottom,81.5
low,C2,S2,Bottom,38.3
conv,C2,S2,Bottom,38.3
low,C3,S3,Bottom,38.3
conv,C3,S3,Bottom,38.3
low,C4,S4,Bottom,38.3
conv,C4,S4,Bottom,38.3
low,O3,C3,Bottom,63.4
conv,O3,C3,Bottom,63.4
low,O4,A4,Bottom,63.3
conv,O4,A4,Bottom,63.3
low,S2,C2,Bottom,35.3
conv,S2,C2,Bottom,35.3
low,S3,O3,Bottom,35.3
conv,S3,O3,Bottom,35.3
low,S4,O4,Bottom,35.3
conv,S4,O4,Bottom,35.3
low,A4,C4,Top,75.3
conv,A4,C4,Top,75.3
low,C2,S2,Top,28.5
conv,C2,S2,Top,28.5
low,C3,S3,Top,28.5
conv,C3,S3,Top,28.5
low,C4,S4,Top,28.5
conv,C4,S4,Top,28.5
low,O3,C3,Top,53.6
conv,O3,C3,Top,53.6
low,O4,A4,Top,50.1
conv,O4,A4,Top,50.1
low,S2,C2,Top,23
conv,S2,C2,Top,23
low,S3,O3,Top,23
conv,S3,O3,Top,23
low,S4,O4,Top,23
conv,S4,O4,Top,23
