Rotation,Crop_ID,Corn_weed_management,Crop,Parameter,Rank,Value,Value_rounded
2-year,C2,conventional,corn,t_11_s,21,0.741066632,0.74
2-year,C2,conventional,corn,t_21_s,23,0.809579483,0.81
2-year,C2,conventional,corn,t_12_s,27,1.655912435,1.66
2-year,C2,conventional,corn,t_22_s,28,1.809004311,1.81
2-year,C2,conventional,corn,d,18,0.601415719,0.6
2-year,C2,conventional,corn,g_1,1,0,0
2-year,C2,conventional,corn,g_2,1,0,0
2-year,C2,conventional,corn,g_3,1,0,0
2-year,C2,conventional,corn,g_4,1,0,0
2-year,C2,conventional,corn,g_5,1,0,0
2-year,C2,conventional,corn,g_6,1,0,0
2-year,C2,conventional,corn,s_s1,14,0.432755046,0.43
2-year,C2,conventional,corn,s_s2,15,0.495470508,0.5
2-year,C2,conventional,corn,s_p1,1,0,0
2-year,C2,conventional,corn,s_p2,1,0,0
2-year,C2,conventional,corn,s_p3,1,0,0
2-year,C2,conventional,corn,s_p4,1,0,0
2-year,C2,conventional,corn,s_p5,1,0,0
2-year,C2,conventional,corn,s_p6,1,0,0
2-year,C2,conventional,corn,f_1,31,188.39577,188.4
2-year,C2,conventional,corn,f_2,30,44.99287244,44.99
2-year,C2,conventional,corn,f_3,29,10.27498749,10.27
2-year,C2,conventional,corn,f_4,26,1.65092107,1.65
2-year,C2,conventional,corn,f_5,17,0.593224874,0.59
2-year,C2,conventional,corn,f_6,22,0.743668953,0.74
2-year,C2,conventional,corn,t_11_f,16,0.522697207,0.52
2-year,C2,conventional,corn,t_21_f,20,0.669710555,0.67
2-year,C2,conventional,corn,t_12_f,24,0.949920647,0.95
2-year,C2,conventional,corn,t_22_f,25,1.217094475,1.22
2-year,C2,conventional,corn,o_11,19,0.642590375,0.64
2-year,C2,conventional,corn,o_22,13,0.414172641,0.41
2-year,C2,low,corn,t_11_s,23,0.388316004,0.39
2-year,C2,low,corn,t_21_s,24,0.424216469,0.42
2-year,C2,low,corn,t_12_s,27,0.867691611,0.87
2-year,C2,low,corn,t_22_s,28,0.947911153,0.95
2-year,C2,low,corn,d,20,0.315139474,0.32
