Scenario,Crop_ID,Corn_weed_management,Group,recruitment,summer survival,fecundity,winter survival
,A4,conventional,seed_top,,,,
,,,seed_bottom,,,,
,,,plant_cohort_1,0.04,,,
,,,plant_cohort_2,0.09,,,
,,,plant_cohort_3,0.0007,,,
,,,plant_cohort_4,0.07,,,
,,,plant_cohort_5,0.003,,,
,,,plant_cohort_6,0.0009,,,
,,low,seed_top,,,,
,,,seed_bottom,,,,
,,,plant_cohort_1,0.037,,,
,,,plant_cohort_2,0.084,,,
,,,plant_cohort_3,0.0012,,,
,,,plant_cohort_4,0.06,,,
,,,plant_cohort_5,0.003,,,
,,,plant_cohort_6,0.001,,,
