"Rotation","Crop_ID","Corn_weed_management","Crop","Parameter","Rank","Value","Value_rounded"
"2-year","C2","conventional","corn","t_11_s",25,928.222414132853,"928.22"
"2-year","C2","conventional","corn","t_21_s",24,909.140327039566,"909.14"
"2-year","C2","conventional","corn","t_12_s",21,2.1552502801914,"2.16"
"2-year","C2","conventional","corn","t_22_s",20,2.11094336309022,"2.11"
"2-year","C2","conventional","corn","d",22,771.895845712838,"771.9"
"2-year","C2","conventional","corn","g_1",1,0,"0"
"2-year","C2","conventional","corn","g_2",1,0,"0"
"2-year","C2","conventional","corn","g_3",1,0,"0"
"2-year","C2","conventional","corn","g_4",1,0,"0"
"2-year","C2","conventional","corn","g_5",1,0,"0"
"2-year","C2","conventional","corn","g_6",1,0,"0"
"2-year","C2","conventional","corn","s_s1",15,0.699439242946709,"0.7"
"2-year","C2","conventional","corn","s_s2",14,0.466956371926599,"0.47"
"2-year","C2","conventional","corn","s_p1",1,0,"0"
"2-year","C2","conventional","corn","s_p2",1,0,"0"
"2-year","C2","conventional","corn","s_p3",1,0,"0"
"2-year","C2","conventional","corn","s_p4",1,0,"0"
"2-year","C2","conventional","corn","s_p5",1,0,"0"
"2-year","C2","conventional","corn","s_p6",1,0,"0"
"2-year","C2","conventional","corn","f_1",31,57575494.7660145,"57575494.77"
"2-year","C2","conventional","corn","f_2",30,13609686.5107721,"13609686.51"
"2-year","C2","conventional","corn","f_3",29,2965551.01110348,"2965551.01"
"2-year","C2","conventional","corn","f_4",28,321503.666569795,"321503.67"
"2-year","C2","conventional","corn","f_5",26,64789.5879494884,"64789.59"
"2-year","C2","conventional","corn","f_6",27,72782.5869192301,"72782.59"
"2-year","C2","conventional","corn","t_11_f",16,0.826992299283461,"0.83"
"2-year","C2","conventional","corn","t_21_f",17,0.924709984715672,"0.92"
"2-year","C2","conventional","corn","t_12_f",18,1.24284444194611,"1.24"
"2-year","C2","conventional","corn","t_22_f",19,1.38969935501421,"1.39"
"2-year","C2","conventional","corn","o_11",23,891.071169032968,"891.07"
"2-year","C2","conventional","corn","o_22",13,0.341512746780554,"0.34"
"2-year","C2","low","corn","t_11_s",25,165.29804210643,"165.3"
"2-year","C2","low","corn","t_21_s",24,161.899900036383,"161.9"
"2-year","C2","low","corn","t_12_s",21,0.383807421735005,"0.38"
"2-year","C2","low","corn","t_22_s",20,0.375917236648881,"0.38"
"2-year","C2","low","corn","d",22,137.459374029032,"137.46"
"2-year","C2","low","corn","g_1",1,0,"0"
"2-year","C2","low","corn","g_2",1,0,"0"
"2-year","C2","low","corn","g_3",1,0,"0"
"2-year","C2","low","corn","g_4",1,0,"0"
"2-year","C2","low","corn","g_5",1,0,"0"
"2-year","C2","low","corn","g_6",1,0,"0"
"2-year","C2","low","corn","s_s1",15,0.124556287018239,"0.12"
"2-year","C2","low","corn","s_s2",14,0.0831556886079902,"0.08"
"2-year","C2","low","corn","s_p1",1,0,"0"
"2-year","C2","low","corn","s_p2",1,0,"0"
"2-year","C2","low","corn","s_p3",1,0,"0"
"2-year","C2","low","corn","s_p4",1,0,"0"
"2-year","C2","low","corn","s_p5",1,0,"0"
"2-year","C2","low","corn","s_p6",1,0,"0"
"2-year","C2","low","corn","f_1",31,13561459.8552244,"13561459.86"
"2-year","C2","low","corn","f_2",30,3205655.77435509,"3205655.77"
"2-year","C2","low","corn","f_3",29,698512.468701171,"698512.47"
"2-year","C2","low","corn","f_4",28,75727.6873644407,"75727.69"
"2-year","C2","low","corn","f_5",26,15260.6833790018,"15260.68"
"2-year","C2","low","corn","f_6",27,17143.3721008534,"17143.37"
"2-year","C2","low","corn","t_11_f",16,0.147270962031612,"0.15"
"2-year","C2","low","corn","t_21_f",17,0.164672547939453,"0.16"
"2-year","C2","low","corn","t_12_f",18,0.221325998778506,"0.22"
"2-year","C2","low","corn","t_22_f",19,0.247477952485145,"0.25"
"2-year","C2","low","corn","o_11",23,158.68214059045,"158.68"
"2-year","C2","low","corn","o_22",13,0.0608166615432912,"0.06"
"2-year","S2","conventional","soybean","t_11_s",23,775.623513939667,"775.62"
"2-year","S2","conventional","soybean","t_21_s",22,759.835858858071,"759.84"
"2-year","S2","conventional","soybean","t_12_s",21,541.409973779586,"541.41"
"2-year","S2","conventional","soybean","t_22_s",20,530.389686526622,"530.39"
"2-year","S2","conventional","soybean","d",25,1094.74564846317,"1094.75"
"2-year","S2","conventional","soybean","g_1",1,0,"0"
"2-year","S2","conventional","soybean","g_2",1,0,"0"
"2-year","S2","conventional","soybean","g_3",1,0,"0"
"2-year","S2","conventional","soybean","g_4",1,0,"0"
"2-year","S2","conventional","soybean","g_5",1,0,"0"
"2-year","S2","conventional","soybean","g_6",1,0,"0"
"2-year","S2","conventional","soybean","s_s1",16,0.250528285822976,"0.25"
"2-year","S2","conventional","soybean","s_s2",14,0.136334373488139,"0.14"
"2-year","S2","conventional","soybean","s_p1",1,0,"0"
"2-year","S2","conventional","soybean","s_p2",1,0,"0"
"2-year","S2","conventional","soybean","s_p3",1,0,"0"
"2-year","S2","conventional","soybean","s_p4",1,0,"0"
"2-year","S2","conventional","soybean","s_p5",1,0,"0"
"2-year","S2","conventional","soybean","s_p6",1,0,"0"
"2-year","S2","conventional","soybean","f_1",30,49791081.3542199,"49791081.35"
"2-year","S2","conventional","soybean","f_2",31,255759052.168875,"255759052.17"
"2-year","S2","conventional","soybean","f_3",29,23079354.1629134,"23079354.16"
"2-year","S2","conventional","soybean","f_4",28,16690696.0821874,"16690696.08"
"2-year","S2","conventional","soybean","f_5",27,13315841.5261276,"13315841.53"
"2-year","S2","conventional","soybean","f_6",26,12681237.2743331,"12681237.27"
"2-year","S2","conventional","soybean","t_11_f",19,0.496611898157493,"0.5"
"2-year","S2","conventional","soybean","t_21_f",17,0.281731438988942,"0.28"
"2-year","S2","conventional","soybean","t_12_f",18,0.339857025199924,"0.34"
"2-year","S2","conventional","soybean","t_22_f",15,0.192803291897188,"0.19"
"2-year","S2","conventional","soybean","o_11",24,1066.53521888531,"1066.54"
"2-year","S2","conventional","soybean","o_22",13,0.000907925567958995,"0"
"2-year","S2","low","soybean","t_11_s",23,138.123197968354,"138.12"
"2-year","S2","low","soybean","t_21_s",22,135.311729041613,"135.31"
"2-year","S2","low","soybean","t_12_s",21,96.4144016348326,"96.41"
"2-year","S2","low","soybean","t_22_s",20,94.4519065704712,"94.45"
"2-year","S2","low","soybean","d",25,194.952534586819,"194.95"
"2-year","S2","low","soybean","g_1",1,0,"0"
"2-year","S2","low","soybean","g_2",1,0,"0"
"2-year","S2","low","soybean","g_3",1,0,"0"
"2-year","S2","low","soybean","g_4",1,0,"0"
"2-year","S2","low","soybean","g_5",1,0,"0"
"2-year","S2","low","soybean","g_6",1,0,"0"
"2-year","S2","low","soybean","s_s1",16,0.044614129661483,"0.04"
"2-year","S2","low","soybean","s_s2",14,0.0242784538126555,"0.02"
"2-year","S2","low","soybean","s_p1",1,0,"0"
"2-year","S2","low","soybean","s_p2",1,0,"0"
"2-year","S2","low","soybean","s_p3",1,0,"0"
"2-year","S2","low","soybean","s_p4",1,0,"0"
"2-year","S2","low","soybean","s_p5",1,0,"0"
"2-year","S2","low","soybean","s_p6",1,0,"0"
"2-year","S2","low","soybean","f_1",30,10606442.2875928,"10606442.29"
"2-year","S2","low","soybean","f_2",31,54481516.6206209,"54481516.62"
"2-year","S2","low","soybean","f_3",29,4916339.05723781,"4916339.06"
"2-year","S2","low","soybean","f_4",28,3555434.02393829,"3555434.02"
"2-year","S2","low","soybean","f_5",27,2836526.15722182,"2836526.16"
"2-year","S2","low","soybean","f_6",26,2701343.44600021,"2701343.45"
"2-year","S2","low","soybean","t_11_f",19,0.0884367509363354,"0.09"
"2-year","S2","low","soybean","t_21_f",17,0.0501707937188788,"0.05"
"2-year","S2","low","soybean","t_12_f",18,0.0605218102970981,"0.06"
"2-year","S2","low","soybean","t_22_f",15,0.0343344506413935,"0.03"
"2-year","S2","low","soybean","o_11",24,189.928815373403,"189.93"
"2-year","S2","low","soybean","o_22",13,0.000161683575484646,"0"
"3-year","C3","conventional","corn","t_11_s",17,5.49955817501924,"5.5"
"3-year","C3","conventional","corn","t_21_s",21,29.1622008521205,"29.16"
"3-year","C3","conventional","corn","t_12_s",22,274.575713498256,"274.58"
"3-year","C3","conventional","corn","t_22_s",25,1455.97734423865,"1455.98"
"3-year","C3","conventional","corn","d",23,325.941821781366,"325.94"
"3-year","C3","conventional","corn","g_1",1,0,"0"
"3-year","C3","conventional","corn","g_2",1,0,"0"
"3-year","C3","conventional","corn","g_3",1,0,"0"
"3-year","C3","conventional","corn","g_4",1,0,"0"
"3-year","C3","conventional","corn","g_5",1,0,"0"
"3-year","C3","conventional","corn","g_6",1,0,"0"
"3-year","C3","conventional","corn","s_s1",14,0.28497250986761,"0.28"
